Timestamp,מסלול לימודים,באיזה סמסטר היית כשקיבלת את ההצעה?,ממוצע (נכון לתקופת חיפוש העבודה),האם ביקשו גיליון ציונים?,קורסי מפתח שעשית לפני הצעת העבודה,האם היה לך ניסיון לפני קבלת המשרה?,"שכר שעתי במשרת הסטודנט הראשונה (ש""ח לשעה)",האם התמקחת אחרי קבלת ההצעה?,חברה (נא לכתוב באנגלית את שם החברה),תחום המשרה,מין,טעם גלידה אהוב
16/08/2022 17:35:50,"מדמ""ח",4,88,כן,"מת""מ, מבני נתונים",פרויקטים אישיים משמעותיים,120,לא,Mobileye,Software Development,נקבה,בייגלה מלוח - קרמל
16/08/2022 18:00:13,"מדמ""ח",3,81,כן,"מת""מ",פרויקטים אישיים משמעותיים,85,לא,Qualcomm,Devops,זכר,וניל עוגיות
16/08/2022 18:27:18,"מדמ""ח",4,78,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,90,לא,Intel,Software Development,נקבה,וניל עוגיות
16/08/2022 20:33:25,"מדמ""ח",6,84.1,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,180,לא,Facebook,Backend,זכר,שוקולד בראוניס
16/08/2022 20:43:41,"מדמ""ח",5,90,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,110,לא,,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 21:28:47,הנדסת מחשבים,6,86,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,20,לא,,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 21:31:37,"מדמ""ח",5,88,כן,"מת""מ, מבני נתונים",ניסיון רלוונטי מהצבא,120,לא,Intel,Software Development,נקבה,בצק עוגיות
16/08/2022 23:21:07,"מדמ""ח",,87,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,95,לא,Intel,Embedded,זכר,בצק עוגיות
16/08/2022 23:28:15,"מדמ""ח - מתמטיקה",4,92,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,110,לא,IBM,Software Development,זכר,שוקולד בראוניס
16/08/2022 23:47:38,"מדמ""ח",4,95,כן,"מת""מ",ללא ניסיון כלל,140,לא,Small Start Up,Software Development,זכר,פיסטוק
17/08/2022 00:04:57,"מדמ""ח",3,95.6,כן,"מת""מ",פרויקטים אישיים משמעותיים,120,לא,Cisco,Software Development,זכר,בצק עוגיות
17/08/2022 00:20:46,"מדמ""ח - מתמטיקה",2,70,לא,,ללא ניסיון כלל,40,לא,,,נקבה,בצק עוגיות
17/08/2022 00:26:57,"מדמ""ח",5,93.2,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,70,כן,Small start-up ,,זכר,
17/08/2022 00:41:12,"מדמ""ח",4,86,לא,"מת""מ, מבני נתונים, הפעלה",ניסיון רלוונטי מהצבא,87,לא,תעשיה צבאית,Backend,זכר,וניל עוגיות
17/08/2022 00:46:01,הנדסת מחשבים,6,75,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,85,לא,Intel,Software Development,זכר,בייגלה מלוח - קרמל
17/08/2022 00:54:42,"מדמ""ח",3,98.5,כן,"מת""מ",ללא ניסיון כלל,110,לא,,,זכר,בייגלה מלוח - קרמל
17/08/2022 02:43:09,"מדמ""ח",7,86,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,85,לא,Intel,Software Development,זכר,בצק עוגיות
17/08/2022 07:50:39,הנדסת מחשבים,4,85,כן,"מת""מ, מבני נתונים, אלגו",ללא ניסיון כלל,90,לא,Intel,Validation/Testing,נקבה,בייגלה מלוח - קרמל
17/08/2022 09:59:56,"מדמ""ח",5,84,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,105,,Nvidia,Validation/Testing,נקבה,וניל עוגיות
17/08/2022 10:12:19,"מדמ""ח",3,94,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,170,לא,Facebook,Full Stack,זכר,בצק עוגיות
17/08/2022 12:27:11,"מדמ""ח",3,84,כן,"מת""מ",פרויקטים אישיים משמעותיים,73,לא,Intel,Software Development,זכר,
17/08/2022 12:39:58,"מדמ""ח",3,76,לא,"מת""מ",פרויקטים אישיים משמעותיים,75,לא,,Backend,זכר,שוקולד בראוניס
17/08/2022 13:24:46,"מדמ""ח",5,85,כן,"מת""מ",ללא ניסיון כלל,75,כן,Rafael,firmware,זכר,בייגלה מלוח - קרמל
